trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
254,False,"{'a': 0.25, 'e': 0.07786448720191189}",20,14,9.083708488505101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.25, 'e': 0.07708584232989277}",25,16,15.836629122465748,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.25, 'e': 0.07631498390659384}",35,23,22.319126289797026,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.25, 'e': 0.07555183406752791}",25,12,-6.391256204896937,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
258,False,"{'a': 0.25, 'e': 0.07479631572685264}",25,8,28.90084789131655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.25, 'e': 0.07404835256958411}",30,17,-18.82686545177045,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
260,False,"{'a': 0.25, 'e': 0.07330786904388827}",20,11,4.309802915332213,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.25, 'e': 0.07257479035344938}",30,17,25.175209104083606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.25, 'e': 0.07184904244991488}",35,19,30.075428479309963,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.25, 'e': 0.07113055202541574}",30,12,35.73019722148292,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.25, 'e': 0.07041924650516158}",30,11,22.77713320476047,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.25, 'e': 0.06971505404010997}",20,12,18.43756175952285,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.25, 'e': 0.06901790349970886}",25,14,19.31942634519526,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.25, 'e': 0.06832772446471178}",20,13,-10.165470249464864,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
268,False,"{'a': 0.25, 'e': 0.06764444722006466}",20,0,-54.59093655437783,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
269,False,"{'a': 0.25, 'e': 0.066968002747864}",30,13,20.428933426621697,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.25, 'e': 0.06629832272038537}",25,7,29.26778518872972,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.25, 'e': 0.06563533949318151}",30,19,19.747704350741337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.25, 'e': 0.06497898609824969}",20,7,22.951708997881607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.25, 'e': 0.0643291962372672}",25,14,22.551902662052285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.25, 'e': 0.06368590427489453}",25,18,13.568360095830686,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.25, 'e': 0.06304904523214558}",25,8,15.33705516728376,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.25, 'e': 0.06241855477982412}",20,12,14.939439089638896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.25, 'e': 0.06179436923202588}",25,15,16.13751817028185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.25, 'e': 0.06117642553970562}",20,4,28.12906274706443,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.25, 'e': 0.06056466128430856}",20,13,14.401422394339281,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.25, 'e': 0.05995901467146548}",20,12,13.931331214209072,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.25, 'e': 0.05935942452475082}",25,14,12.975756310481428,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.25, 'e': 0.058765830279503314}",25,14,20.971182429325285,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.25, 'e': 0.05817817197670828}",20,12,13.950849568477572,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.25, 'e': 0.057596390256941195}",35,18,28.688334122708948,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.25, 'e': 0.05702042635437178}",20,14,12.834329056965743,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.25, 'e': 0.05645022209082806}",20,13,10.901039727033162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.25, 'e': 0.05588571986991978}",20,6,21.47426105072928,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.25, 'e': 0.055326862671220584}",20,13,12.747432031939063,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.25, 'e': 0.05477359404450838}",25,17,14.794642703980925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.25, 'e': 0.054225858104063294}",30,16,26.343698611135565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.25, 'e': 0.05368359952302266}",20,13,14.8306163926512,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.25, 'e': 0.053146763527792434}",35,8,36.21967512560031,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.25, 'e': 0.052615295892514506}",30,18,20.18962963664969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.25, 'e': 0.052089142933589364}",20,9,19.94973615457561,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.25, 'e': 0.05156825150425347}",20,10,-4.654345398687898,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
296,False,"{'a': 0.25, 'e': 0.051052568989210935}",25,16,17.86081804923334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.25, 'e': 0.05054204329931883}",20,0,25.97001051161992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
298,False,"{'a': 0.25, 'e': 0.05003662286632564}",20,15,10.995489429171808,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.25, 'e': 0.04953625663766238}",25,20,9.358794876957676,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.25, 'e': 0.04904089407128576}",20,10,19.34583948472458,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.25, 'e': 0.0485504851305729}",20,9,17.994710136609722,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.25, 'e': 0.048064980279267165}",25,13,27.127427452903166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.25, 'e': 0.04758433047647449}",20,0,2.8846684381395207,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
304,False,"{'a': 0.25, 'e': 0.04710848717170975}",30,13,11.40798085661778,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
305,False,"{'a': 0.25, 'e': 0.04663740229999265}",25,13,9.996140869530183,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.25, 'e': 0.04617102827699272}",20,9,19.56952998596356,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.25, 'e': 0.045709317994222794}",20,14,12.685362714929969,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.25, 'e': 0.04525222481428057}",25,13,26.23433969628677,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.25, 'e': 0.04479970256613776}",20,9,16.43831280217422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.25, 'e': 0.04435170554047638}",20,3,27.955350345592016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.25, 'e': 0.043908188485071616}",25,2,34.473704847585346,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.25, 'e': 0.0434691066002209}",30,18,11.039024737017847,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.25, 'e': 0.04303441553421869}",25,17,14.615309087744585,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.25, 'e': 0.0426040713788765}",35,17,32.32870611648139,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.25, 'e': 0.04217803066508773}",20,8,18.94078797055703,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.25, 'e': 0.04175625035843686}",25,14,18.767785267879546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.25, 'e': 0.041338687854852486}",25,11,22.080352208191705,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.25, 'e': 0.04092530097630396}",25,13,22.52761523253067,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.25, 'e': 0.040516047966540916}",20,13,11.211913346957038,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.25, 'e': 0.04011088748687551}",25,15,15.82840307853741,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.25, 'e': 0.03970977861200675}",30,21,19.025431677716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.25, 'e': 0.03931268082588668}",20,6,-60.058151822274496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
323,False,"{'a': 0.25, 'e': 0.03891955401762781}",20,9,21.730948306609157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.25, 'e': 0.03853035847745153}",20,9,7.849633617110147,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
325,False,"{'a': 0.25, 'e': 0.03814505489267701}",25,20,10.118851319372661,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.25, 'e': 0.03776360434375024}",30,13,33.3303858347587,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.25, 'e': 0.03738596830031274}",20,10,20.44995120307235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.25, 'e': 0.03701210861730961}",25,15,20.202855633225504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.25, 'e': 0.03664198753113651}",20,10,18.334985070622317,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.25, 'e': 0.036275567655825146}",30,10,23.53588508456246,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.25, 'e': 0.03591281197926689}",20,15,9.54265318548109,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.25, 'e': 0.035553683859474224}",20,7,26.249647886608123,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.25, 'e': 0.03519814702087948}",25,0,37.01432240245488,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
334,False,"{'a': 0.25, 'e': 0.03484616555067068}",20,0,27.301407957449705,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.25, 'e': 0.034497703895163975}",20,14,14.26640224151106,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.25, 'e': 0.03415272685621234}",30,8,41.311638731762095,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.25, 'e': 0.03381119958765021}",20,13,15.276923824291584,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.25, 'e': 0.03347308759177371}",25,17,13.943919447569566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.25, 'e': 0.03313835671585597}",20,14,9.248988308267164,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.25, 'e': 0.03280697314869741}",25,16,12.097042302375808,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.25, 'e': 0.032478903417210436}",20,11,15.308657960509583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.25, 'e': 0.032154114383038335}",30,8,34.70294045502537,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.25, 'e': 0.03183257323920795}",25,9,26.730626218550118,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.25, 'e': 0.03151424750681587}",20,16,6.232135917631319,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.25, 'e': 0.03119910503174771}",30,15,24.348445706435978,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.25, 'e': 0.030887113981430233}",30,18,21.85225860408906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.25, 'e': 0.03057824284161593}",35,23,20.861934965368956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.25, 'e': 0.03027246041319977}",25,15,18.371449597271642,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.25, 'e': 0.029969735809067772}",30,16,24.191394904085023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.25, 'e': 0.029670038450977095}",25,15,20.15488893667737,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.25, 'e': 0.029373338066467324}",30,17,23.827155406387472,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.25, 'e': 0.02907960468580265}",25,13,24.99467961709551,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.25, 'e': 0.028788808638944622}",30,5,30.213426194400682,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.25, 'e': 0.028500920552555174}",25,11,27.629820731169776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.25, 'e': 0.028215911347029624}",20,6,25.864715604991684,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.25, 'e': 0.027933752233559327}",25,12,27.83041094844474,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.25, 'e': 0.027654414711223735}",20,11,16.879697842544594,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.25, 'e': 0.027377870564111496}",30,17,24.47589229191981,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.25, 'e': 0.027104091858470382}",35,21,26.97958979946462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.25, 'e': 0.026833050939885677}",30,9,38.99201337599339,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.25, 'e': 0.02656472043048682}",20,12,15.43219184993535,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.25, 'e': 0.02629907322618195}",20,5,24.419448628700323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.25, 'e': 0.026036082493920133}",20,16,7.675687775419009,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.25, 'e': 0.02577572166898093}",20,11,17.56288490662363,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.25, 'e': 0.025517964452291122}",25,12,11.116125970274815,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.25, 'e': 0.02526278480776821}",20,16,7.502585633195462,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.25, 'e': 0.025010156959690527}",20,16,9.692618989958756,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.25, 'e': 0.02476005539009362}",20,14,13.807937817858337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'a': 0.25, 'e': 0.024512454836192684}",30,12,-13.897527181228376,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
370,False,"{'a': 0.25, 'e': 0.024267330287830756}",35,23,-19.84577867178204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
371,False,"{'a': 0.25, 'e': 0.024024656984952448}",30,16,27.24338395979498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.25, 'e': 0.023784410415102923}",25,10,28.295785002036336,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.25, 'e': 0.023546566310951894}",20,2,31.05950516461455,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.25, 'e': 0.023311100647842375}",35,21,24.445426553016425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.25, 'e': 0.02307798964136395}",30,18,22.14762166217249,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.25, 'e': 0.022847209744950314}",20,2,23.76673162393634,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
377,False,"{'a': 0.25, 'e': 0.02261873764750081}",20,10,15.454269408119535,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.25, 'e': 0.022392550271025803}",25,8,28.35817226946845,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.25, 'e': 0.022168624768315544}",20,9,23.756092672459584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.25, 'e': 0.02194693852063239}",20,6,30.140136839927212,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.25, 'e': 0.021727469135426065}",30,13,-10.539551336756567,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
382,False,"{'a': 0.25, 'e': 0.021510194444071803}",30,14,24.968256652160107,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.25, 'e': 0.021295092499631085}",20,8,22.246767455811753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.25, 'e': 0.021082141574634772}",25,20,10.354022365248433,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.25, 'e': 0.020871320158888425}",30,19,19.63935411033463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.25, 'e': 0.020662606957299542}",20,0,27.101016045124542,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.25, 'e': 0.020455980887726547}",30,21,19.083531840254366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.25, 'e': 0.02025142107884928}",30,22,15.705032692806952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.25, 'e': 0.020048906868060788}",20,0,-12.045746642325515,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
390,False,"{'a': 0.25, 'e': 0.01984841779938018}",20,12,14.36270800977144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.25, 'e': 0.019649933621386378}",20,10,20.486472777425483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.25, 'e': 0.019453434285172513}",20,14,11.623967328472183,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.25, 'e': 0.019258899942320787}",25,14,23.013049357964732,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.25, 'e': 0.01906631094289758}",20,9,17.837168743158493,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.25, 'e': 0.018875647833468602}",25,11,26.077491022275275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.25, 'e': 0.018686891355133916}",20,13,11.53638887469987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.25, 'e': 0.018500022441582577}",25,18,13.860871447489192,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.25, 'e': 0.01831502221716675}",20,13,11.420881840721135,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.25, 'e': 0.018131871994995084}",20,15,6.966838181125723,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.25, 'e': 0.017950553275045134}",35,14,40.869332022952385,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.25, 'e': 0.017771047742294682}",25,15,17.04076346136976,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.25, 'e': 0.017593337264871736}",30,18,23.484812082083074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.25, 'e': 0.01741740389222302}",20,0,32.630372909706075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
404,False,"{'a': 0.25, 'e': 0.01724322985330079}",20,8,11.406945250325787,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
405,False,"{'a': 0.25, 'e': 0.017070797554767782}",20,13,13.586463517309713,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.25, 'e': 0.016900089579220106}",25,8,31.441512535600893,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.25, 'e': 0.016731088683427906}",20,5,28.718240399570938,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.25, 'e': 0.016563777796593626}",20,12,15.341223292096501,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.25, 'e': 0.016398140018627688}",20,6,30.378801005402536,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.25, 'e': 0.01623415861844141}",25,6,19.429418603042212,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
411,False,"{'a': 0.25, 'e': 0.016071817032256998}",30,20,7.822195715329409,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
412,False,"{'a': 0.25, 'e': 0.01591109886193443}",20,6,25.251852762808777,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.25, 'e': 0.015751987873315085}",25,15,20.66739466420142,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.25, 'e': 0.015594467994581935}",35,28,15.37437366234979,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.25, 'e': 0.015438523314636115}",20,0,29.96495124400389,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
416,False,"{'a': 0.25, 'e': 0.015284138081489753}",25,8,31.627979211775738,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.25, 'e': 0.015131296700674856}",20,16,8.312516502917182,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.25, 'e': 0.014979983733668108}",35,16,35.241131222769766,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.25, 'e': 0.014830183896331426}",20,7,26.0103039257742,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.25, 'e': 0.014681882057368112}",20,5,29.39045339054363,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.25, 'e': 0.01453506323679443}",30,16,29.390628654608978,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.25, 'e': 0.014389712604426485}",30,18,25.425899046777488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.25, 'e': 0.01424581547838222}",20,14,10.75292995132041,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.25, 'e': 0.014103357323598397}",30,13,33.031542146340115,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.25, 'e': 0.013962323750362413}",20,0,32.359808021084774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
426,False,"{'a': 0.25, 'e': 0.013822700512858789}",25,6,25.084309013973748,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.25, 'e': 0.0136844735077302}",30,8,33.11128054550788,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.25, 'e': 0.013547628772652899}",25,0,37.218004027868204,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
429,False,"{'a': 0.25, 'e': 0.01341215248492637}",20,12,16.868013311679107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.25, 'e': 0.013278030960077106}",30,10,40.132859143888,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.25, 'e': 0.013145250650476335}",25,14,23.017949559117262,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.25, 'e': 0.01301379814397157}",25,8,29.403891347207473,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.25, 'e': 0.012883660162531854}",20,9,23.63070412488944,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.25, 'e': 0.012754823560906535}",25,18,11.96339190895344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.25, 'e': 0.01262727532529747}",30,18,19.73591135403816,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.25, 'e': 0.012501002572044496}",20,16,7.988918726974064,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.25, 'e': 0.01237599254632405}",25,14,16.67023930308979,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.25, 'e': 0.01225223262086081}",20,14,13.192166613621161,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.25, 'e': 0.012129710294652202}",25,11,26.690467121238278,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
