trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.25, 'e': 0.3212010745647914}",20,11,-16.67108616738403,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.25, 'e': 0.3179890638191435}",20,0,-21.760493170785686,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.25, 'e': 0.31480917318095203}",20,0,-8.121139876710783,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
116,False,"{'a': 0.25, 'e': 0.3116610814491425}",20,0,29.80261530660927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.25, 'e': 0.30854447063465107}",20,0,25.314463285562375,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.25, 'e': 0.30545902592830454}",20,9,-18.465522142006137,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.25, 'e': 0.3024044356690215}",20,1,-13.164572364073104,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.25, 'e': 0.29938039131233124}",20,9,9.524713948893815,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.25, 'e': 0.2963865873992079}",25,0,30.425233736095574,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.25, 'e': 0.29342272152521587}",30,22,6.198690991870287,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.25, 'e': 0.2904884943099637}",25,15,-29.791314325519497,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.25, 'e': 0.28758360936686406}",20,16,7.833873598374194,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.25, 'e': 0.2847077732731954}",20,0,-29.95631976834972,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
126,False,"{'a': 0.25, 'e': 0.28186069554046345}",20,15,-11.326206884969517,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
127,False,"{'a': 0.25, 'e': 0.2790420885850588}",20,10,20.478246947109955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.25, 'e': 0.2762516676992082}",25,3,11.721826230084206,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.25, 'e': 0.27348915102221616}",20,0,19.296182057881104,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.25, 'e': 0.270754259511994}",20,16,8.038458658447482,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.25, 'e': 0.26804671691687404}",20,0,7.192368117563108,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.25, 'e': 0.2653662497477053}",20,6,7.003303417506308,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.25, 'e': 0.2627125872502282}",20,6,23.0988302019577,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.25, 'e': 0.2600854613777259}",25,12,22.816543420526518,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.25, 'e': 0.2574846067639487}",20,8,7.155138585532855,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.25, 'e': 0.2549097606963092}",20,8,13.818422539502082,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.25, 'e': 0.2523606630893461}",20,13,-27.267042182202808,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.25, 'e': 0.24983705645845267}",25,8,-0.9434176624626547,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.25, 'e': 0.24733868589386815}",30,3,-2.2999446941204127,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.25, 'e': 0.24486529903492946}",20,16,7.266403610100088,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.25, 'e': 0.24241664604458016}",20,13,13.84084928985054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.25, 'e': 0.23999247958413436}",25,0,-8.993884986396194,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.25, 'e': 0.23759255478829303}",25,0,-22.964670405048146,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.25, 'e': 0.2352166292404101}",30,4,-20.568037735141083,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.25, 'e': 0.232864462948006}",30,18,-19.872800793878653,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.25, 'e': 0.23053581831852593}",20,1,-14.302935834444645,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.25, 'e': 0.22823046013534068}",30,8,11.26393176511478,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.25, 'e': 0.22594815553398728}",20,0,7.1628492285458965,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.25, 'e': 0.22368867397864742}",20,12,12.731972109822218,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
